右侧颈总动脉窦部斑块形成	颈动脉斑块
腰椎体骨质增生	腰椎骨质增生
肝右叶多发稍高回声结节,考虑肝血管瘤	肝血管瘤
非对称性肥厚型心肌病(梗阻在腱索水平)	肥厚型心肌病
甲状腺左侧叶稍低回声结节,ACRTI-RADS4类	甲状腺结节 TI-RADS 4类
右肺中叶、左肺上叶舌段支气管扩张伴慢性炎症	支气管扩张、肺慢性炎症
主动脉瓣钙化伴返流+	主动脉瓣钙化伴返流
左室假腱索	左室假腱索
右肺上叶多发小结节	肺结节
左肾内高回声区,泥沙样结石？	肾结石
多发性左肾囊肿,部分囊肿伴囊壁钙化	肾囊肿
双肺上叶、右肺中叶散在少许慢性炎症病灶	肺慢性炎症
肝左叶高回声结节,考虑血管瘤	肝血管瘤
甲状腺弥漫性肿大伴多发结节,考虑结节性甲状腺肿	结节性甲状腺肿
胆囊泥沙样结石可能,稠厚胆汁待除外	胆囊结石？
原右膝关节骨折术后并内固定术后,现股骨下段内侧及胫骨平台内侧及同侧关节腔内均见内固定在位	骨折
右上中肺少许陈旧病灶	肺陈旧性病灶
子宫略大、触及不规则结节	子宫略大
双侧乳腺囊性结节(左乳多发)(BI-RADS2类)	乳腺结节 BI-RADS 2类
甲状腺实质回声增粗伴多发结节,考虑结节性甲状腺肿	甲状腺回声增粗
肝右叶内高回声结节,肝血管瘤？	肝血管瘤？
考虑右肺散在微小纤维结节	肺纤维结节
右肝高回声结节,血管瘤？钙化灶？	肝钙化灶
双侧乳腺多发无回声区,考虑囊性结节	乳腺结节
左下肺小结节状影	肺结节
双侧颈动脉分叉处斑块形成	颈动脉斑块形成
甲状腺峡部偏左侧低回声结节伴钙化,TI-RADS4A类	甲状腺结节 TI-RADS 4a类
胆囊附壁隆起性病变,考虑胆囊息肉	胆囊息肉
右肺上叶前段陈旧性病灶	肺陈旧性病灶
右上肺少许纤维机化灶	肺纤维灶
右眼屈光不正(中度近视)	屈光不正
甲状腺多发低回声结节,考虑结节性甲状腺肿可能	结节性甲状腺肿？
甲状腺右侧叶低回声结节,结节性甲状腺肿？	结节性甲状腺肿？
右肺少许纤维机化灶	肺纤维灶
枕大池囊肿	枕大池囊肿
右侧膈上胸膜钙化	胸膜钙化
肝右叶多发性囊肿	肝囊肿
C5/6椎间盘前路术后改变,颈椎退行性改变,C3/4、C4/5、C5/6椎间盘突出	颈椎间盘突出、颈椎退行性改变、颈椎术后改变
右侧乳腺实性结节伴粗大钙化(BI-RADS3类)	乳腺结节 BI-RADS 3类
双侧额颞顶叶少量缺血灶	脑缺血灶
双肺下叶胸膜下钙化灶	肺钙化灶
双附件区无回声区	卵巢囊肿？
考虑左下肺慢性炎症	肺炎
左乳晕深面无回声区内高回声结节,考虑左乳导管内乳头状瘤？	乳腺结节
双侧颈动脉硬化伴双侧颈动脉斑块形成	动脉硬化
左侧乳腺局部导管扩张(BI-RADS2类)	乳腺导管扩张
左肺上叶舌段、右肺中叶内侧段部分支气管扩张、感染	支气管扩张
频发房性早搏伴短阵房性心动过速（一过性）	房性早搏、房性心动过速
外科既往史阑尾术后、甲状腺腺瘤切除术	甲状腺腺瘤
左上肺纯磨玻璃小结节	肺磨玻璃结节
主动脉硬化,主动脉瓣钙化	动脉硬化、主动脉瓣钙化
甲状腺多发结节,倾向结节性甲状腺肿	结节性甲状腺肿
腰2、3椎体缘轻度骨质增生	腰椎骨质增生
左肺后肋膈角区胸膜下小结节	肺结节
右肺上叶少许胸膜增厚粘连	胸膜增厚
左肺上叶尖后段、右肺中叶慢性炎症	肺慢性炎症
考虑左上肺陈旧病灶,伴局部支气管扩张	支气管扩张、肺陈旧性病灶
甲状腺右叶低回声结节,考虑结节性甲状腺肿（TI-RADS2类）	结节性甲状腺肿
右肺下叶慢性炎症	肺慢性炎症
右肺上中叶少许慢性炎症	肺慢性炎症
三尖瓣返流++++	三尖瓣返流
快心室型心房颤动	心房颤动
右肺尖微小结节,拟良性病变	肺结节
残余甲状腺右叶强回声,考虑钙化灶	甲状腺钙化灶
双侧颈部淋巴结反应性增生(左侧多发)	颈部淋巴结反应性增生
左肺钙化灶及纤维化	肺纤维化、肺钙化灶
甲状腺实质回声增粗不均伴血供稍丰富	甲状腺回声增粗
右侧颈动脉斑块形成	颈动脉斑块形成
右肺尖孤立肺大泡	肺大泡
免散瞳眼底照相考虑右眼视网膜毛细血管瘤、硬性渗出灶可能	毛细血管瘤
双上肺肺气肿、右肺上叶肺大泡	肺气肿、肺大泡
嗜酸性粒细胞计数降低	嗜酸性粒细胞计数降低
右肺中下叶及左肺上叶下舌段少许慢性炎症,较前片(2014-10-19)对比病灶有所增多	肺慢性炎症
右肝稍高回声结节,肝血管瘤？不均质脂肪肝？	脂肪肝
胆囊多发结石	胆囊结石
左侧乳腺低回声结节,增生结节？	乳腺增生
右肺中叶及左肺下舌段、左下肺少许陈旧纤维机化灶	肺纤维灶、肺陈旧性病灶
血沉增高	血沉增高
甲状腺右叶中部低回声结节,TI-RADS4A类	甲状腺结节 TI-RADS 4a类
考虑右中下肺及左肺舌叶陈旧病灶	肺陈旧性病灶
肝右前叶低回声结节,肝血管瘤？	肝血管瘤？
脾内高回声结节,考虑血管瘤	肝血管瘤
左肺下叶钙化灶	肺钙化灶
频发室性早搏三联律	室性早搏
甲状腺左侧叶背侧囊性结节,考虑甲状旁腺囊肿	甲状腺结节
左肾多发性囊肿	肾囊肿
子宫低回声结节伴钙化(子宫肌瘤伴钙化？)	子宫肌瘤
甲状腺双侧叶囊性结节(TI-RADS2类-考虑滤泡增生)	甲状腺结节 TI-RADS 2类
考虑慢性支气管炎、肺气肿	慢性支气管炎、肺气肿
左肺上叶下舌段及右肺中叶内侧段少许慢性炎症	肺慢性炎症
甲状腺右叶中部低回声结节伴钙化,TI-RADS4A类	甲状腺结节 TI-RADS 4a类
甲状腺多发结节	甲状腺结节
双肺野散在数个小结节	肺结节
右乳低回声结节,考虑占位性病变,MT待排	乳腺占位性病变
甲状腺左叶低回声结节,考虑腺瘤可能	甲状腺腺瘤
肝右叶稍低回声区,不均匀性脂肪肝？血管瘤？	不均匀性脂肪肝
右肺中叶少许慢性炎症	肺慢性炎症
频发单源性室性早搏三联律	室性早搏
右上肺及左下肺多个磨玻璃密度小结节	肺磨玻璃结节
右上肺术后改变	右肺术后改变
右乳腺多发实性结节(BI-RADS3类)	乳腺结节 BI-RADS 3类
右膝关节退行性变	膝关节退行性变
鼻变应性鼻炎、鼻中隔偏曲	变应性鼻炎、鼻中隔偏曲
残余甲状腺左叶低回声结节,考虑结节性甲状腺肿	结节性甲状腺肿
右上肺纤维化、钙化	肺纤维化
甲状腺结节(右叶多发)	甲状腺结节
甲状腺峡部低至无回声结节	甲状腺结节
双肺多发磨玻璃密度病灶及纤维小结节,考虑炎性改变	肺磨玻璃结节
残余甲状腺左叶囊实性结节(TI-RADS3类)	甲状腺结节 TI-RADS 3类
考虑双下肺间质性炎症	肺炎性改变
子宫增大并多发低回声结节,考虑子宫肌瘤	子宫肌瘤？
右侧乳腺低至无回声结节,增生结节？	乳腺结节
双肺散在慢性炎症并双下肺胸膜稍增厚	肺慢性炎症
子宫稍大伴多发低回声结节,考虑多发性子宫肌瘤	子宫肌瘤？
D-二聚体定量(D-D)增高	D-二聚体定量(D-D)增高
考虑左胸腔内积液	胸腔积液
左侧颈总动脉分叉处斑块形成	颈动脉斑块
双肾实质内稍高回声结节(左肾多发),考虑肾错构瘤	肾错构瘤？
左肝内高回声结节,考虑肝血管瘤	肝血管瘤
鼻左侧鼻前庭粘膜糜烂充血、左侧鼻出血史	鼻出血史、鼻粘膜糜烂、鼻粘膜充血
胆囊偏小	胆囊偏小
三尖瓣轻度反流,估测肺动脉收缩压31MMHG	三尖瓣反流
双侧颈部多发实性结节,考虑淋巴结可见	颈部淋巴结
右上中肺纤维化、钙化	肺纤维化
颈椎明显退行性改变,C3/4、C4/5、C5/6椎间盘突出	颈椎间盘突出、颈椎退行性改变
甲状腺多发低回声结节(大者结节伴钙化)	甲状腺结节
腰5椎体缘轻度骨质增生及腰5-骶1椎间隙变窄	腰椎骨质增生
裂隙灯检查双眼白内障轻度	白内障
右下肺胸椎旁占位病灶(胸膜间皮瘤？)	胸膜间皮瘤？
右肝低回声结节,血管瘤？	肝血管瘤？
子宫多发肌瘤,考虑伴宫腔慢性炎性病变	子宫肌瘤
多发性左肾囊肿,其一伴囊壁钙化	肾囊肿
双侧囊性乳腺增生?	乳腺囊性增生
胆囊点状异常信号,息肉？结石？	胆囊结石？、胆囊息肉
宫颈内口处无回声区,考虑子宫颈潴留囊肿	宫颈潴留囊肿
子宫低回声结节,考虑子宫肌瘤？	子宫肌瘤？
右侧附件区无回声区,考虑囊肿	卵巢囊肿
左乳多发低回声结节,BI-RADS3类	乳腺结节 BI-RADS 3类
腰椎退行性改变,L4/5椎间盘轻度膨出、L5/S1椎间盘突出	腰椎间盘突出
胆总管上段扩张,肝内胆管轻度扩张(考虑胆囊切除术后改变)	胆总管上段扩张、胆囊切除术后改变
甲状腺左叶不均质回声结节伴钙化(TI-RADS3类)	甲状腺结节 TI-RADS 3类
2、4、5椎体缘轻度骨质增生	骨质增生
右中下肺少许纤维机化灶,右侧胸膜粘连	胸膜粘连、肺纤维灶
双肺多发拟良性的小结节	肺结节
右肺中叶粟粒状结节,较前片(2017-10-29)对比原左肺下叶结节灶吸收消失,右肺中叶结节灶大致相仿	肺结节
L3/4、L4/5椎间盘膨隆。L5椎体双侧椎弓峡部裂	腰椎间盘膨出
双侧乳腺增生伴局部导管扩张	乳腺增生、乳腺导管扩张
甲状腺左叶混合性结节(TI-RADS2类)	甲状腺结节 TI-RADS 2类
两肺上叶、右肺中叶散在慢性炎症	肺慢性炎症
双眼下睑倒睫、左眼虹膜残膜	倒睫
右肾实质内高回声结节,考虑错构瘤	肾错构瘤？
频发房性早搏,时成对出现	房性早搏
颈椎反弓、颈椎退行性变	颈椎退行性改变
左下肺陈旧性病灶	肺陈旧性病灶
双肺多发良性小结节灶,较前相仿	肺结节
双侧乳腺低回声结节,纤维腺瘤？	乳腺纤维瘤？、乳腺结节
甲状腺左侧叶囊性结节(TI-RADS2类)	甲状腺结节 TI-RADS 2类
右侧附件区探测不清	附件区探测不清
二尖瓣微量反流(考虑生理性)	二尖瓣反流
T波改变(I、aVL、II、III、aVF、V4、V5、V6)	T波改变
C3-4、C4-5、C5-6、C6-7椎间盘轻膨隆	颈椎间盘膨出
左肺下叶背段钙化小结节	肺结节
鼻鼻中隔偏曲、双下鼻甲肥厚	鼻中隔偏曲、下鼻甲肥厚
外科既往史胃穿孔修补术后	胃穿孔术后
腰椎退行性变,L3-4、L4-5及L5-S1椎间盘突出(正中型)	腰椎退行性变
考虑双上肺陈旧结核灶伴纵隔内及右肺门区淋巴结钙化	肺结核、肺陈旧性病灶
右肝多发囊肿	肝囊肿
子宫腔内高回声结节,子宫内膜息肉？	子宫内膜息肉？
胆囊壁内结石	胆囊结石
关节腔少量积液	关节积液
甲状腺多发实性结节伴钙化(TI-RADS3类)	甲状腺结节 TI-RADS 3类
甲状腺右叶多发低回声结节(部分伴钙化),考虑结节性甲状腺肿	结节性甲状腺肿
肝内多发片状低回声区,考虑肝脂肪低浸润	脂肪肝
右肺下叶少许慢性炎症性病灶	肺慢性炎症
右侧颈部多发淋巴结反应性增生	颈部淋巴结反应性增生
骨质减少	骨质减少
左肺上叶斑点状钙化	肺钙化
右肺中叶内侧段、双肺下叶后底段慢性炎症	肺慢性炎症
甲状腺多发实性、混合性结节(TI-RADS3类)	甲状腺结节 TI-RADS 3类
右侧上臂及右侧腰部皮下脂肪层内稍高回声结节,考虑脂肪瘤	脂肪瘤
双侧侧脑室旁及半卵圆中心少量脑缺血灶	脑缺血灶
脾下极下方等回声结节,副脾？	副脾
左肺上叶尖后段、下叶后基底段微小结节	肺结节
左肺下叶少许纤维机化灶	肺纤维灶
右侧乳腺低回声结节伴钙化,BI-RADS3类	乳腺结节 BI-RADS 3类
右肺上叶胸膜下纤维小结节	肺纤维结节
T波改变(两点半综合征)	T波改变
右侧乳腺低回声结节伴粗大钙化	乳腺结节
L4-5椎间盘轻度膨隆	腰椎间盘膨出
子宫后方无回声区,囊肿？	子宫囊肿？
甲状腺右叶多发低回声结节伴部分结节钙化	甲状腺结节
双侧下肢动脉硬化伴股总动脉多发斑块形成	动脉硬化
甲状腺右叶等回声团块,考虑腺瘤伴部分液化	甲状腺腺瘤
左输尿管结石伴左肾积水	输尿管结石、肾积水
子宫多发低回声结节,肌瘤？腺肌瘤？子宫内膜回声欠均匀	子宫肌瘤？
右上肺孤立肺大泡	肺大泡
肝多发低回声结节,局灶性肝脂肪浸润缺失？肝多发血管瘤？	肝血管瘤？
腹腔气体多,胆囊、胰腺探查不清	胆囊探查不清
多发性右肾囊肿(部分囊肿伴囊壁钙化)	肾囊肿
肝多发高回声结节(血管瘤？)	肝血管瘤？
胃泌素-17降低	胃泌素-17降低
外阴右侧小阴唇内侧中段1/3处可见一大小约0.6cmX0.5cm的肿物突出于皮肤表面、色黑、边界清楚、无触痛、考虑黑痣	黑痣
双侧侧脑室旁少许缺血梗塞灶、脑白质区多发缺血灶、轻度脑萎缩	脑萎缩脑缺血、梗塞灶
右肝小囊肿可能	肝囊肿
宫腔内稍高回声结节,考虑子宫内膜息肉可能	子宫内膜息肉？
考虑右上肺陈旧性肺结核	陈旧性肺结核、肺陈旧性病灶
甲状腺右叶多发斑点状强回声,考虑钙化灶	甲状腺钙化灶
双肺少许实性小结节	肺结节
左肺上叶舌段、右肺条索影,为慢性炎症所致	肺慢性炎症
子宫可疑低回声结节,子宫肌瘤？	子宫肌瘤？
外科既往史双下肢静脉曲张术后	下肢静脉曲张
左肝等回声结节,考虑肝血管瘤	肝血管瘤
腰椎轻度退行性改变,L3/4、L4/5椎间盘膨出	腰椎间盘膨出
双肺散在肺气囊	肺气囊
右肺下叶后基底段微小结节	肺结节
双侧筛窦慢性炎症、鼻炎	鼻炎
肌酸磷酸激酶增高	肌酸磷酸激酶增高
右肺中下叶散在慢性炎症	肺慢性炎症
左肾实质内稍高回声区,肾错构瘤？	肾错构瘤？
左肾区未探及肾脏回声	左肾区未探及肾脏回声
L4-5、L5-S1椎间盘膨出	腰椎间盘膨出
左肺下叶外后基底段慢性炎症	肺慢性炎症
腰椎重度退行性改变,L3/4椎间盘膨出并向后重度脱出,L4/5椎间盘轻度膨出	腰椎间盘膨出
胃壁粘膜层稍毛糙,考虑胃炎	胃炎
右侧大脑中动脉血流速度轻度增快,考虑轻度狭窄可能	大脑中动脉狭窄可能
甲状腺左侧叶等回声结节,考虑结节性甲状腺肿	结节性甲状腺肿
甲状腺实质回声稍增粗,血流较丰富	甲状腺回声增粗
甲状腺右叶低回声结节伴钙化,占位性病变？	甲状腺占位
子宫右前方低回声团,考虑子宫浆膜下肌瘤,卵巢占位待排除	子宫肌瘤？
前列腺总PSA增高	前列腺总PSA增高
甲状腺右叶混合回声结节伴钙化	甲状腺结节
右肺上叶陈旧性病变	肺陈旧性病灶
甲状腺实质回声增粗、不均,桥本氏甲状腺炎？	甲状腺回声增粗
左肺下叶少许支气管扩张合并周围慢性炎症,较前相仿	支气管扩张、肺慢性炎症
考虑右肺中叶胸膜下纤维小结节	肺纤维结节
所见胃小弯侧胃壁增厚,伴局部多发肿大淋巴结	扁桃体肿大
右肺上叶球形病变	肺部病变
甲状腺弥漫性肿大,实质回声增粗	甲状腺回声增粗
右肺上、中叶微小结节,必要时继续定期复查	肺结节
肝右叶高回声结节,倾向良性	肝结节
平均红细胞血红蛋白量降低	平均红细胞血红蛋白量降低
分泌物量多、色黄	阴道分泌物异常
胆囊附壁多发隆起性病变,考虑胆囊息肉	胆囊息肉
右侧上组输尿管下段囊肿	输尿管囊肿
肝内高密度影、部分胆管扩张	胆管扩张
结合病史,为左肺术后改变,左肺纤维化	肺纤维化
肝内多发囊肿可能	肝囊肿
左肾多发结石伴左肾积水	肾积水、肾结石
右肺下叶背段慢性炎症、胸膜肥厚	肺慢性炎症
分泌物色黄、泡沫状、有异味	阴道分泌物异常
双侧颈部淋巴结可见	颈部淋巴结可见
右侧乳腺低回声结节,考虑术后瘢痕组织？占位性病变？BI-RADS3类	乳腺结节 BI-RADS 3类
右肾重复肾、重复输尿管	重复肾
左侧乳腺低至无回声结节,考虑增生结节	乳腺结节
右肺中叶内侧段散在少许慢性炎症	肺慢性炎症
甲状腺右叶切除术后	甲状腺切除术后
左侧基底节区腔隙性脑梗死	腔隙性脑梗死
肝右叶低回声结节,肝血管瘤	肝血管瘤
左下肺、右中肺纤维小结节	肺纤维结节
左肺下叶肺大疱	肺大疱
肝多发稍高回声结节,多发性肝血管瘤？	肝血管瘤？
左侧乳腺实性结节伴粗大钙化(BI-RADS3类)	乳腺结节 BI-RADS 3类
甲状腺实质回声明显增粗,桥本氏甲状腺炎？	桥本甲状腺炎
右肺中下叶、左肺下叶外侧底段少许慢性炎症性病灶	肺慢性炎症
自诉消融术后,甲状腺多发混合回声结节,部分结节伴钙化(TI-RADS3类)	甲状腺结节 TI-RADS 3类
